glottocode	genus	confidence
qima1242	Central Cushitic	initial
daha1245	Dahalo	initial
burj1242	Highland East Cushitic	initial
hadi1240	Highland East Cushitic	common ancestor (burj1242, sida1246)
libi1250	Highland East Cushitic	common ancestor (burj1242, sida1246)
alab1254	Highland East Cushitic	common ancestor (burj1242, sida1246)
kamb1316	Highland East Cushitic	common ancestor (burj1242, sida1246)
gede1246	Highland East Cushitic	common ancestor (burj1242, sida1246)
sida1246	Highland East Cushitic	initial
afar1241	Lowland East Cushitic	initial
saho1246	Lowland East Cushitic	initial
buss1239	Lowland East Cushitic	common ancestor (afar1241, bora1271)
dira1242	Lowland East Cushitic	common ancestor (afar1241, bora1271)
kons1243	Lowland East Cushitic	common ancestor (afar1241, bora1271)
bora1271	Lowland East Cushitic	initial
orma1241	Lowland East Cushitic	common ancestor (afar1241, bora1271)
east2652	Lowland East Cushitic	initial
waat1238	Lowland East Cushitic	initial
west2721	Lowland East Cushitic	initial
bais1246	Lowland East Cushitic	initial
jiid1238	Lowland East Cushitic	common ancestor (afar1241, bora1271)
daba1260	Lowland East Cushitic	common ancestor (afar1241, bora1271)
tunn1238	Lowland East Cushitic	common ancestor (afar1241, bora1271)
giri1245	Lowland East Cushitic	common ancestor (afar1241, bora1271)
awee1242	Lowland East Cushitic	common ancestor (afar1241, bora1271)
garr1259	Lowland East Cushitic	common ancestor (afar1241, bora1271)
maay1238	Lowland East Cushitic	common ancestor (afar1241, bora1271)
rend1243	Lowland East Cushitic	initial
soma1255	Lowland East Cushitic	initial
arbo1245	Lowland East Cushitic	initial
daas1238	Lowland East Cushitic	initial
elmo1238	Lowland East Cushitic	common ancestor (afar1241, bora1271)
gaww1239	Lowland East Cushitic	initial
tsam1247	Lowland East Cushitic	common ancestor (afar1241, bora1271)
yaak1241	Lowland East Cushitic	common ancestor (afar1241, bora1271)
boon1242		
aasa1238		
kwad1248		
buru1320	Southern Cushitic	initial
alag1248	Southern Cushitic	initial
goro1270	Southern Cushitic	initial
iraq1241	Southern Cushitic	initial
copt1239	Egyptian-Coptic	initial
egyp1246	Egyptian-Coptic	sibling of copt1239
akka1240		
ebla1238		
amor1239		
anci1245		
hadr1236	Semitic	common ancestor (hija1235, sana1295)
hija1235	Semitic	initial
jude1267	Semitic	common ancestor (hija1235, sana1295)
sana1295	Semitic	initial
baha1259	Semitic	initial
dhof1235	Semitic	common ancestor (hija1235, sana1295)
shih1239	Semitic	common ancestor (hija1235, sana1295)
gulf1241	Semitic	initial
najd1235	Semitic	common ancestor (hija1235, sana1295)
oman1239	Semitic	common ancestor (hija1235, sana1295)
taiz1242	Semitic	common ancestor (hija1235, sana1295)
taji1248		
khor1274		
uzbe1248		
meso1252	Semitic	initial
jude1266		
nort3142		
east2690		
egyp1253	Semitic	initial
said1239	Semitic	sibling of egyp1253
chad1249	Semitic	initial
nubi1253	Creoles and Pidgins	initial
suda1236		
suda1237		
cypr1248	Semitic	initial
nort3139	Semitic	initial
alge1239	Semitic	common ancestor (hass1238, liby1240)
alge1240	Semitic	common ancestor (hass1238, liby1240)
hass1238	Semitic	initial
jude1264	Semitic	common ancestor (hass1238, liby1240)
jude1265	Semitic	common ancestor (hass1238, liby1240)
liby1240	Semitic	initial
malt1254	Semitic	initial
tuni1259	Semitic	initial
anda1287	Semitic	common ancestor (hass1238, liby1240)
moro1292	Semitic	initial
stan1318	Semitic	initial
impe1235	Semitic	common ancestor (assy1241, hebr1245)
boht1238	Semitic	common ancestor (assy1241, nucl1706)
hert1241	Semitic	common ancestor (assy1241, nucl1706)
assy1241	Semitic	initial
chal1275	Semitic	initial
jewi1240	Semitic	common ancestor (assy1241, chal1275)
barz1241	Semitic	common ancestor (assy1241, chal1275)
lish1247	Semitic	common ancestor (assy1241, chal1275)
hula1244	Semitic	common ancestor (assy1241, chal1275)
lish1246	Semitic	initial
koys1242	Semitic	common ancestor (assy1241, chal1275)
lish1245	Semitic	initial
mlah1239	Semitic	common ancestor (assy1241, nucl1706)
turo1239	Semitic	common ancestor (assy1241, nucl1706)
clas1252	Semitic	common ancestor (assy1241, nucl1706)
clas1253	Semitic	common ancestor (assy1241, nucl1706)
nucl1706	Semitic	initial
midd1366	Semitic	common ancestor (assy1241, hebr1245)
late1255	Semitic	common ancestor (assy1241, hebr1245)
west2763	Semitic	common ancestor (assy1241, hebr1245)
olda1245	Semitic	common ancestor (assy1241, hebr1245)
anci1244	Semitic	common ancestor (assy1241, hebr1245)
hebr1245	Semitic	initial
sama1313	Semitic	common ancestor (assy1241, hebr1245)
phoe1239	Semitic	common ancestor (assy1241, hebr1245)
puni1241	Semitic	common ancestor (assy1241, hebr1245)
ugar1238	Semitic	common ancestor (assy1241, hebr1245)
hadr1235		
mina1279		
faif1234		
jaba1234		
qata1238		
saba1279		
geez1241	Semitic	common ancestor (amha1245, tigr1271)
amha1245	Semitic	initial
argo1244	Semitic	common ancestor (amha1245, hara1271)
hara1271	Semitic	initial
silt1240	Semitic	common ancestor (amha1245, hara1271)
wola1253	Semitic	common ancestor (amha1245, hara1271)
zayy1238	Semitic	common ancestor (amha1245, hara1271)
gafa1240	Semitic	common ancestor (amha1245, hara1271)
kist1241	Semitic	initial
inor1238	Semitic	common ancestor (amha1245, hara1271)
mesm1243	Semitic	common ancestor (amha1245, hara1271)
mesq1240	Semitic	common ancestor (amha1245, hara1271)
seba1251	Semitic	initial
tigr1271	Semitic	initial
daha1247	Semitic	common ancestor (amha1245, tigr1271)
tigr1270	Semitic	initial
sheh1240	Semitic	initial
soqo1240	Semitic	initial
hoby1242	Semitic	common ancestor (sheh1240, bath1244)
bath1244	Semitic	initial
hars1241	Semitic	initial
mehr1241	Semitic	initial
aika1237	isolate	initial
ainu1240	Ainu	initial
kuri1271	Ainu	sibling of ainu1240
sakh1245		
arap1274	Algonquian	initial
gros1243	Algonquian	common ancestor (arap1274, chey1247)
nawa1259	Algonquian	common ancestor (arap1274, chey1247)
chey1247	Algonquian	initial
atik1240	Algonquian	initial
moos1236	Algonquian	common ancestor (arap1274, chey1247)
nort1552	Algonquian	common ancestor (arap1274, chey1247)
mich1243	Algonquian	initial
plai1258	Algonquian	initial
sout2978	Algonquian	common ancestor (arap1274, chey1247)
swam1239	Algonquian	initial
wood1236	Algonquian	common ancestor (arap1274, chey1247)
mont1268	Algonquian	initial
nask1242	Algonquian	initial
caro1243	Algonquian	common ancestor (arap1274, chey1247)
muns1251	Algonquian	initial
unam1242	Algonquian	initial
loup1245	Algonquian	common ancestor (arap1274, chey1247)
mahi1248	Algonquian	common ancestor (arap1274, chey1247)
east2544	Algonquian	common ancestor (arap1274, chey1247)
west2630	Algonquian	initial
male1292	Algonquian	initial
mikm1235	Algonquian	initial
loup1243	Algonquian	common ancestor (arap1274, chey1247)
wamp1249	Algonquian	initial
mohe1244	Algonquian	initial
wamp1250	Algonquian	common ancestor (arap1274, chey1247)
nant1249	Algonquian	initial
pisc1239	Algonquian	common ancestor (arap1274, chey1247)
powh1243	Algonquian	initial
kick1244	Algonquian	initial
mesk1242	Algonquian	initial
miam1252	Algonquian	initial
cent2136	Algonquian	common ancestor (arap1274, chey1247)
chip1241	Algonquian	initial
east2542	Algonquian	initial
nort2961	Algonquian	common ancestor (arap1274, chey1247)
west1510	Algonquian	common ancestor (arap1274, chey1247)
otta1242	Algonquian	common ancestor (arap1274, chey1247)
algo1255	Algonquian	initial
seve1240	Algonquian	initial
pota1247	Algonquian	initial
shaw1249	Algonquian	initial
meno1252	Algonquian	initial
siks1238	Algonquian	initial
wiyo1248	Wiyot	initial
yuro1248	Yurok	initial
alse1251	isolate	initial
amto1250		
siaw1243		
anda1286	isolate	
ando1256	isolate	initial
anem1249	isolate	initial
anga1290	Angaataha	initial
baru1267	Nuclear Angan	initial
simb1255	Nuclear Angan	common ancestor (baru1267, hamt1247)
hamt1247	Nuclear Angan	initial
meny1245	Nuclear Angan	initial
kama1360	Nuclear Angan	common ancestor (baru1267, hamt1247)
susu1251	Nuclear Angan	common ancestor (baru1267, hamt1247)
kawa1276	Nuclear Angan	common ancestor (baru1267, hamt1247)
safe1240	Nuclear Angan	initial
anka1246	Nuclear Angan	common ancestor (baru1267, hamt1247)
akoy1238	Nuclear Angan	common ancestor (baru1267, hamt1247)
tain1253	Nuclear Angan	common ancestor (baru1267, hamt1247)
yagw1240	Nuclear Angan	common ancestor (baru1267, hamt1247)
ipik1244		
hoia1235		
hoya1235		
mahi1249		
mina1274		
muba1238		
kuni1265	Boazi	initial
zima1244	Boazi	initial
bian1251	Marind-Yaqay	sibling of nucl1622
nucl1622	Marind-Yaqay	initial
wark1247	Marind-Yaqay	sibling of yaqa1246
yaqa1246	Marind-Yaqay	initial
abom1238		
bara1378		
bitu1242		
maka1315		
were1244		
anda1283		
awia1234		
nanu1240		
tape1242		
meak1234		
huil1244	Araucanian	sibling of mapu1245
mapu1245	Araucanian	initial
maip1247	Alto-Orinoco	common ancestor (bani1254, guar1293)
guar1293	Alto-Orinoco	initial
yavi1244	Alto-Orinoco	common ancestor (bani1254, guar1293)
bare1276	Japura-Colombia	initial
guin1258	Japura-Colombia	sibling of bare1276
anau1243		
yaba1249		
araw1276	Antillean Arawakan	initial
gari1256	Antillean Arawakan	initial
isla1278	Antillean Arawakan	common ancestor (araw1276, gari1256)
mara1409		
tain1254		
arub1238		
para1316	Guajiro-Paraujano	sibling of wayu1243
wayu1243	Guajiro-Paraujano	initial
arai1239		
uiri1238		
enaw1238	Central Arawakan	common ancestor (pare1272, waur1244)
pare1272	Central Arawakan	initial
sara1331	Central Arawakan	common ancestor (pare1272, waur1244)
kust1238	Central Arawakan	common ancestor (pare1272, waur1244)
mehi1240	Central Arawakan	common ancestor (pare1272, waur1244)
waur1244	Central Arawakan	initial
yawa1261	Central Arawakan	common ancestor (pare1272, waur1244)
pali1279	Palikur	initial
juma1250		
pass1250		
kais1242		
mepu1234		
bani1255	Japura-Colombia	initial
curr1243	Japura-Colombia	initial
tari1256	Japura-Colombia	initial
cabi1241	Japura-Colombia	common ancestor (bani1255, acha1250)
acha1250	Japura-Colombia	initial
piap1246	Japura-Colombia	initial
mand1448	Japura-Colombia	common ancestor (bani1255, acha1250)
ware1255	Japura-Colombia	common ancestor (bani1255, acha1250)
resi1247	Japura-Colombia	initial
uain1239	Japura-Colombia	common ancestor (bani1255, resi1247)
yucu1253	Japura-Colombia	initial
arua1264	Negro-Roraima	common ancestor (xiri1243, wapi1253)
cari1280	Negro-Roraima	common ancestor (xiri1243, wapi1253)
mana1299	Negro-Roraima	common ancestor (xiri1243, wapi1253)
xiri1243	Negro-Roraima	initial
mapi1252	Negro-Roraima	common ancestor (xiri1243, wapi1253)
aroa1234	Negro-Roraima	common ancestor (xiri1243, wapi1253)
para1324	Negro-Roraima	common ancestor (xiri1243, wapi1253)
sheb1234	Negro-Roraima	common ancestor (xiri1243, wapi1253)
ator1244	Negro-Roraima	common ancestor (xiri1243, wapi1253)
wapi1253	Negro-Roraima	initial
baur1253	Bolivia-Parana	initial
igna1246	Bolivia-Parana	initial
trin1274	Bolivia-Parana	common ancestor (baur1253, igna1246)
paun1241	Bolivia-Parana	common ancestor (baur1253, igna1246)
tere1279	Bolivia-Parana	initial
apol1242	Bolivia-Parana	common ancestor (baur1253, igna1246)
magi1242	Bolivia-Parana	common ancestor (baur1253, igna1246)
asha1243	Pre-Andine Arawakan	initial
ajyi1238	Pre-Andine Arawakan	common ancestor (asha1243, ashe1273)
ashe1272	Pre-Andine Arawakan	common ancestor (asha1243, ashe1273)
pich1237	Pre-Andine Arawakan	common ancestor (asha1243, ashe1273)
ucay1237	Pre-Andine Arawakan	common ancestor (asha1243, ashe1273)
ashe1273	Pre-Andine Arawakan	initial
sout3127	Pre-Andine Arawakan	common ancestor (asha1243, ashe1273)
caqu1242	Pre-Andine Arawakan	common ancestor (asha1243, mach1267)
mach1267	Pre-Andine Arawakan	initial
nant1250	Pre-Andine Arawakan	common ancestor (asha1243, mach1267)
noma1263	Pre-Andine Arawakan	initial
yane1238	Yanesha'	initial
cham1318		
mori1273		
apur1254	Purus	initial
inap1242	Purus	common ancestor (apur1254, yine1238)
cara1273	Purus	common ancestor (apur1254, yine1238)
mach1268	Purus	common ancestor (apur1254, yine1238)
mash1270	Purus	common ancestor (apur1254, yine1238)
yine1238	Purus	initial
arua1263	Arauan	common ancestor (bana1307, paum1247)
jama1261	Arauan	common ancestor (bana1307, culi1244)
culi1244	Arauan	initial
deni1241	Arauan	initial
paum1247	Arauan	initial
suru1263	Arauan	common ancestor (bana1307, paum1247)
afri1275		
bala1318		
blis1239		
brit1244		
dutt1234		
efat1235		
eska1234		
espe1235		
idoo1234		
inte1239		
inte1260		
inte1261		
inte1262		
inte1263		
klin1234		
kota1280		
laad1235		
lada1245		
ling1267		
lojb1234		
neoa1234		
nkoa1234		
novi1234		
pala1356		
quen1234		
renn1236		
roma1338		
sind1281		
talo1253		
toki1239		
vola1234		
arut1244	isolate	
atac1235	isolate	initial
atak1252	isolate	initial
kiow1264	Athapaskan	common ancestor (jica1244, carr1249)
jica1244	Athapaskan	initial
lipa1241	Athapaskan	common ancestor (jica1244, mesc1238)
mesc1238	Athapaskan	initial
nava1243	Athapaskan	initial
west2615	Athapaskan	initial
babi1235	Athapaskan	common ancestor (jica1244, carr1249)
carr1249	Athapaskan	initial
sout2958	Athapaskan	common ancestor (jica1244, carr1249)
chil1280	Athapaskan	common ancestor (jica1244, carr1249)
gwic1235	Athapaskan	initial
hann1241	Athapaskan	common ancestor (jica1244, carr1249)
dege1248	Athapaskan	initial
holi1241	Athapaskan	common ancestor (jica1244, carr1249)
koyu1237	Athapaskan	initial
lowe1425	Athapaskan	initial
uppe1438	Athapaskan	initial
tana1290	Athapaskan	initial
uppe1437	Athapaskan	common ancestor (jica1244, carr1249)
nort2941	Athapaskan	initial
sout2957	Athapaskan	common ancestor (jica1244, carr1249)
chip1261	Athapaskan	initial
beav1236	Athapaskan	common ancestor (jica1244, carr1249)
seka1250	Athapaskan	common ancestor (jica1244, carr1249)
kask1239	Athapaskan	common ancestor (jica1244, carr1249)
tagi1240	Athapaskan	common ancestor (jica1244, carr1249)
tahl1239	Athapaskan	common ancestor (jica1244, carr1249)
dogr1252	Athapaskan	common ancestor (jica1244, carr1249)
nort2942	Athapaskan	common ancestor (jica1244, carr1249)
sout2959	Athapaskan	initial
hupa1239	Athapaskan	initial
kato1244	Athapaskan	initial
matt1238	Athapaskan	initial
wail1244	Athapaskan	common ancestor (jica1244, carr1249)
kwal1258	Athapaskan	common ancestor (jica1244, carr1249)
coqu1236	Athapaskan	common ancestor (jica1244, carr1249)
gali1261	Athapaskan	common ancestor (jica1244, carr1249)
tutu1242	Athapaskan	initial
tolo1259	Athapaskan	common ancestor (jica1244, carr1249)
